X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.17059,47.360727,0,0,171,15,2023/05/18 19:17:06+02,,,,,,,,,,,,,,,,,,,,,
-3.170913,47.360646,0,0,172,13,2023/05/18 19:16:45+02,,,,,,,,,,,,,,,,,,,,,
-3.171093,47.360624,0,0,173,12,,,,,,,,,,,,,,,,,,,,,,
-3.171193,47.360522,0,0,174,13,2023/05/18 19:14:21+02,,,,,,,,,,,,,,,,,,,,,
-3.17137,47.360329,0,0,175,13,2023/05/18 19:13:54+02,,,,,,,,,,,,,,,,,,,,,
-3.171489,47.360354,0,0,176,12,,,,,,,,,,,,,,,,,,,,,,
-3.171642,47.360254,0,0,177,11,2023/05/18 19:13:23+02,,,,,,,,,,,,,,,,,,,,,
-3.171727,47.360126,0,0,178,11,,,,,,,,,,,,,,,,,,,,,,
-3.171826,47.360049,0,0,179,11,2023/05/18 19:13:00+02,,,,,,,,,,,,,,,,,,,,,
-3.172093,47.359892,0,0,180,10,2023/05/18 19:12:39+02,,,,,,,,,,,,,,,,,,,,,
-3.172343,47.359738,0,0,181,8,,,,,,,,,,,,,,,,,,,,,,
-3.17247,47.359514,0,0,182,8,2023/05/18 19:11:57+02,,,,,,,,,,,,,,,,,,,,,
-3.172973,47.35938,0,0,183,9,2023/05/18 19:11:16+02,,,,,,,,,,,,,,,,,,,,,
-3.173313,47.359414,0,0,184,9,2023/05/18 19:10:58+02,,,,,,,,,,,,,,,,,,,,,
-3.173643,47.359412,0,0,185,12,2023/05/18 19:10:33+02,,,,,,,,,,,,,,,,,,,,,
-3.174044,47.359398,0,0,186,17,2023/05/18 19:09:53+02,,,,,,,,,,,,,,,,,,,,,
-3.174427,47.359429,0,0,187,20,2023/05/18 19:09:13+02,,,,,,,,,,,,,,,,,,,,,
-3.174566,47.35952,0,0,188,21,,,,,,,,,,,,,,,,,,,,,,
-3.174538,47.359674,0,0,189,20,2023/05/18 19:08:46+02,,,,,,,,,,,,,,,,,,,,,
-3.174538,47.359899,0,0,190,20,2023/05/18 19:08:27+02,,,,,,,,,,,,,,,,,,,,,
-3.174431,47.360132,0,0,191,19,2023/05/18 19:08:04+02,,,,,,,,,,,,,,,,,,,,,
-3.174386,47.360365,0,0,192,20,2023/05/18 19:07:22+02,,,,,,,,,,,,,,,,,,,,,
-3.174329,47.360587,0,0,193,20,2023/05/18 19:07:02+02,,,,,,,,,,,,,,,,,,,,,
-3.174255,47.360817,0,0,194,21,2023/05/18 19:06:40+02,,,,,,,,,,,,,,,,,,,,,
-3.174115,47.361026,0,0,195,19,2023/05/18 19:06:16+02,,,,,,,,,,,,,,,,,,,,,
-3.174098,47.361265,0,0,196,17,2023/05/18 19:05:54+02,,,,,,,,,,,,,,,,,,,,,
-3.174064,47.361495,0,0,197,15,2023/05/18 19:04:56+02,,,,,,,,,,,,,,,,,,,,,
-3.174336,47.361629,0,0,198,15,2023/05/18 19:04:28+02,,,,,,,,,,,,,,,,,,,,,
-3.174655,47.361725,0,0,199,17,2023/05/18 19:04:06+02,,,,,,,,,,,,,,,,,,,,,
-3.175255,47.361914,0,0,200,18,2023/05/18 19:03:19+02,,,,,,,,,,,,,,,,,,,,,
-3.175189,47.362137,0,0,201,14,2023/05/18 19:02:58+02,,,,,,,,,,,,,,,,,,,,,
-3.175332,47.362342,0,0,202,12,2023/05/18 19:02:39+02,,,,,,,,,,,,,,,,,,,,,
-3.175581,47.36246,0,0,203,13,2023/05/18 19:02:09+02,,,,,,,,,,,,,,,,,,,,,
-3.175774,47.362451,0,0,204,16,,,,,,,,,,,,,,,,,,,,,,
-3.175899,47.36238,0,0,205,18,2023/05/18 19:01:48+02,,,,,,,,,,,,,,,,,,,,,
